"significance_level";"continuous 
variables_100";"continuous 
variables_25";"correlations_100";"correlations_25";"interactions_100";"interactions_25";"large effects_100";"large effects_25";"small effects_100";"small effects_25"
2,5;2,83;3,15;2,83;3,01;2,66;2,81;2,65;2,85;2,76;2,8
5;5,37;5,65;5,2;5,47;5,22;5,47;5,22;5,53;5,21;5,36
7,5;7,87;8,15;7,71;7,96;7,62;7,84;7,72;8,01;7,74;7,86
10;10,29;10,65;10,34;10,54;10,24;10,41;10,24;10,43;10,19;10,36
12,5;12,9;13,31;12,87;13,09;12,8;13,07;12,71;12,9;12,76;12,93
15;15,43;15,78;15,4;15,62;15,32;15,46;15,25;15,37;15,28;15,4
17,5;17,89;18,23;17,85;18,13;17,81;18,09;17,63;17,7;17,75;17,9
20;20,47;20,82;20,33;20,58;20,33;20,52;20,2;20,37;20,31;20,42
22,5;22,95;23,19;22,79;22,96;22,83;23,05;22,65;22,9;22,76;22,89
25;25,38;25,79;25,18;25,48;25,34;25,64;25,17;25,57;25,23;25,43
27,5;27,83;28,01;27,68;27,91;27,77;27,99;27,6;27,9;27,65;27,81
30;30,37;30,63;30,25;30,47;30,29;30,57;30,17;30,52;30,18;30,36
32,5;32,82;33,12;32,73;33,04;32,81;33,12;32,79;33,1;32,73;32,89
35;35,26;35,62;35,24;35,53;35,37;35,59;35,24;35,6;35,24;35,39
37,5;37,75;38,34;37,76;38,06;37,89;38,13;37,71;38,04;37,93;38,09
40;40,27;40,94;40,34;40,6;40,28;40,64;40,31;40,72;40,44;40,7
42,5;42,72;43,23;42,76;43;42,73;42,97;42,8;43,14;42,9;43,14
45;45,31;45,77;45,21;45,52;45,24;45,47;45,19;45,48;45,37;45,53
47,5;47,82;48,27;47,65;48,01;47,72;47,93;47,73;47,92;47,79;47,96
50;50,48;50,98;50,18;50,56;50,33;50,64;50,45;50,77;50,44;50,56
52,5;52,85;53,22;52,48;52,85;52,6;52,78;52,9;53,07;52,88;52,97
55;55,29;55,62;55,06;55,44;55,09;55,29;55,42;55,56;55,36;55,53
57,5;57,7;58,21;57,52;57,93;57,54;57,84;57,81;57,93;57,83;58,06
60;60,25;60,88;59,99;60,55;60,15;60,44;60,29;60,47;60,34;60,59
62,5;62,83;63,31;62,44;62,99;62,78;63,03;62,84;63,01;62,79;63,05
65;65,17;65,66;64,91;65,4;65,33;65,55;65,19;65,41;65,3;65,53
67,5;67,66;68,1;67,45;67,9;67,87;67,91;67,88;67,93;67,8;67,9
70;70,24;70,69;69,99;70,56;70,41;70,43;70,46;70,56;70,33;70,49
72,5;72,75;73,16;72,36;72,94;72,92;73;72,89;73,06;72,8;72,91
75;75,23;75,76;75,05;75,62;75,53;75,54;75,41;75,68;75,32;75,4
77,5;77,6;78,1;77,55;78,06;77,91;77,86;77,79;78,03;77,7;77,81
80;80,14;80,77;80,24;80,75;80,37;80,44;80,34;80,66;80,23;80,32
82,5;82,66;83,28;82,73;83,13;82,79;82,84;82,84;83,07;82,7;82,73
85;85,18;85,89;85,1;85,56;85,42;85,39;85,29;85,64;85,07;85,15
87,5;87,73;88,5;87,63;87,95;87,94;88,01;87,86;88,19;87,54;87,59
90;90,2;90,89;90,19;90,45;90,38;90,47;90,29;90,62;90,06;90,14
92,5;92,69;93,23;92,6;92,93;92,8;92,99;92,69;93,08;92,6;92,68
95;95,31;95,56;95,07;95,45;95,21;95,52;95,37;95,63;95,06;95,23
97,5;97,79;NA;97,63;NA;97,74;NA;97,8;NA;97,6;99,4
